N=1024;N=512;N=256;N=128;N=64;N=32;N=16;N=8
457;;;;;;;
318;;;;;;;
675;;;;;;;
567;;;;;;;
662;;;;;;;
359;;;;;;;
465;;;;;;;
840;;;;;;;
245;;;;;;;
618;;;;;;;
898;;;;;;;
349;;;;;;;
434;;;;;;;
665;;;;;;;
781;;;;;;;
399;;;;;;;
591;;;;;;;
625;;;;;;;
436;;;;;;;
620;;;;;;;
458;;;;;;;
677;;;;;;;
363;;;;;;;
407;;;;;;;
787;;;;;;;
666;;;;;;;
191;;;;;;;
782;;;;;;;
571;;;;;;;
900;;;;;;;
848;;;;;;;
246;;;;;;;
365;;;;;;;
626;;;;;;;
350;;;;;;;
460;;;;;;;
678;;;;;;;
411;;;;;;;
707;;;;;;;
668;;;;;;;
789;;;;;;;
249;;;;;;;
681;;;;;;;
573;;;;;;;
481;;;;;;;
628;;;;;;;
599;;;;;;;
371;;;;;;;
423;;;;;;;
904;;;;;;;
864;;;;;;;
466;;;;;;;
803;;;;;;;
574;;;;;;;
468;;;;;;;
790;;;;;;;
413;;;;;;;
440;;;;;;;
250;;;;;;;
366;;;;;;;
709;;;;;;;
682;;;;;;;
482;;;;;;;
632;;;;;;;
427;;;;;;;
793;;;;;;;
655;;;;;;;
912;;;;;;;
603;;;;;;;
689;;;;;;;
373;;;;;;;
710;;;;;;;
684;;;;;;;
223;;;;;;;
414;;;;;;;
472;;;;;;;
805;;;;;;;
252;;;;;;;
794;;;;;;;
374;;;;;;;
615;;;;;;;
713;;;;;;;
690;;;;;;;
429;;;;;;;
605;;;;;;;
377;;;;;;;
435;;;;;;;
928;;;;;;;
806;;;;;;;
455;;;;;;;
714;;;;;;;
835;;;;;;;
796;;;;;;;
484;;;;;;;
663;;;;;;;
606;;;;;;;
430;;;;;;;
692;;;;;;;
809;;;;;;;
619;;;;;;;
319;;;;;;;
721;;;;;;;
378;;;;;;;
459;;;;;;;
716;;;;;;;
239;;;;;;;
437;;;;;;;
696;;;;;;;
960;;;;;;;
837;;;;;;;
810;;;;;;;
488;;;;;;;
722;;;;;;;
667;;;;;;;
461;;;;;;;
380;;;;;;;
621;;;;;;;
247;;;;;;;
783;;;;;;;
467;;;;;;;
817;;;;;;;
838;;;;;;;
627;;;;;;;
812;;;;;;;
679;;;;;;;
622;;;;;;;
737;;;;;;;
724;;;;;;;
899;;;;;;;
438;;;;;;;
669;;;;;;;
441;;;;;;;
841;;;;;;;
818;;;;;;;
462;;;;;;;
351;;;;;;;
469;;;;;;;
575;;;;;;;
367;;;;;;;
738;;;;;;;
629;;;;;;;
670;;;;;;;
442;;;;;;;
728;;;;;;;
842;;;;;;;
683;;;;;;;
791;;;;;;;
820;;;;;;;
251;;;;;;;
901;;;;;;;
630;;;;;;;
470;;;;;;;
740;;;;;;;
849;;;;;;;
415;;;;;;;
496;;;;;;;
844;;;;;;;
633;;;;;;;
483;;;;;;;
711;;;;;;;
824;;;;;;;
902;;;;;;;
685;;;;;;;
444;;;;;;;
473;;;;;;;
850;;;;;;;
375;;;;;;;
795;;;;;;;
744;;;;;;;
634;;;;;;;
253;;;;;;;
691;;;;;;;
905;;;;;;;
686;;;;;;;
607;;;;;;;
254;;;;;;;
807;;;;;;;
865;;;;;;;
852;;;;;;;
636;;;;;;;
715;;;;;;;
485;;;;;;;
906;;;;;;;
431;;;;;;;
797;;;;;;;
752;;;;;;;
693;;;;;;;
474;;;;;;;
379;;;;;;;
913;;;;;;;
866;;;;;;;
798;;;;;;;
486;;;;;;;
694;;;;;;;
908;;;;;;;
856;;;;;;;
717;;;;;;;
489;;;;;;;
811;;;;;;;
476;;;;;;;
381;;;;;;;
697;;;;;;;
623;;;;;;;
723;;;;;;;
914;;;;;;;
868;;;;;;;
718;;;;;;;
439;;;;;;;
490;;;;;;;
698;;;;;;;
839;;;;;;;
463;;;;;;;
813;;;;;;;
671;;;;;;;
929;;;;;;;
916;;;;;;;
382;;;;;;;
725;;;;;;;
872;;;;;;;
819;;;;;;;
497;;;;;;;
700;;;;;;;
814;;;;;;;
443;;;;;;;
631;;;;;;;
492;;;;;;;
739;;;;;;;
930;;;;;;;
726;;;;;;;
920;;;;;;;
843;;;;;;;
498;;;;;;;
880;;;;;;;
821;;;;;;;
729;;;;;;;
961;;;;;;;
471;;;;;;;
741;;;;;;;
445;;;;;;;
822;;;;;;;
730;;;;;;;
845;;;;;;;
825;;;;;;;
851;;;;;;;
846;;;;;;;
745;;;;;;;
742;;;;;;;
932;;;;;;;
635;;;;;;;
255;;;;;;;
962;;;;;;;
826;;;;;;;
903;;;;;;;
687;;;;;;;
500;;;;;;;
732;;;;;;;
853;;;;;;;
637;;;;;;;
446;;;;;;;
746;;;;;;;
867;;;;;;;
907;;;;;;;
695;;;;;;;
475;;;;;;;
719;;;;;;;
753;;;;;;;
936;;;;;;;
854;;;;;;;
487;;;;;;;
909;;;;;;;
944;;;;;;;
748;;;;;;;
828;;;;;;;
504;;;;;;;
869;;;;;;;
799;;;;;;;
699;;;;;;;
477;;;;;;;
857;;;;;;;
910;;;;;;;
915;;;;;;;
964;;;;;;;
873;;;;;;;
491;;;;;;;
638;;;;;;;
754;;;;;;;
968;;;;;;;
727;;;;;;;
478;;;;;;;
917;;;;;;;
858;;;;;;;
701;;;;;;;
756;;;;;;;
383;;;;;;;
921;;;;;;;
870;;;;;;;
815;;;;;;;
874;;;;;;;
976;;;;;;;
493;;;;;;;
931;;;;;;;
918;;;;;;;
702;;;;;;;
860;;;;;;;
731;;;;;;;
499;;;;;;;
823;;;;;;;
881;;;;;;;
933;;;;;;;
743;;;;;;;
494;;;;;;;
847;;;;;;;
501;;;;;;;
922;;;;;;;
827;;;;;;;
760;;;;;;;
447;;;;;;;
733;;;;;;;
876;;;;;;;
934;;;;;;;
963;;;;;;;
882;;;;;;;
937;;;;;;;
924;;;;;;;
992;;;;;;;
855;;;;;;;
747;;;;;;;
502;;;;;;;
829;;;;;;;
734;;;;;;;
965;;;;;;;
938;;;;;;;
505;;;;;;;
884;;;;;;;
639;;;;;;;
911;;;;;;;
830;;;;;;;
749;;;;;;;
506;;;;;;;
859;;;;;;;
479;;;;;;;
945;;;;;;;
755;;;;;;;
966;;;;;;;
871;;;;;;;
940;;;;;;;
750;;;;;;;
969;;;;;;;
888;;;;;;;
508;;;;;;;
861;;;;;;;
946;;;;;;;
919;;;;;;;
757;;;;;;;
703;;;;;;;
970;;;;;;;
875;;;;;;;
495;;;;;;;
862;;;;;;;
948;;;;;;;
758;;;;;;;
977;;;;;;;
923;;;;;;;
761;;;;;;;
972;;;;;;;
877;;;;;;;
935;;;;;;;
978;;;;;;;
883;;;;;;;
503;;;;;;;
952;;;;;;;
762;;;;;;;
925;;;;;;;
735;;;;;;;
878;;;;;;;
993;;;;;;;
980;;;;;;;
939;;;;;;;
885;;;;;;;
926;;;;;;;
831;;;;;;;
764;;;;;;;
507;;;;;;;
994;;;;;;;
967;;;;;;;
886;;;;;;;
941;;;;;;;
751;;;;;;;
984;;;;;;;
889;;;;;;;
509;;;;;;;
947;;;;;;;
996;;;;;;;
942;;;;;;;
971;;;;;;;
890;;;;;;;
510;;;;;;;
863;;;;;;;
949;;;;;;;
759;;;;;;;
1000;;;;;;;
973;;;;;;;
892;;;;;;;
950;;;;;;;
979;;;;;;;
953;;;;;;;
763;;;;;;;
974;;;;;;;
879;;;;;;;
1008;;;;;;;
981;;;;;;;
954;;;;;;;
927;;;;;;;
765;;;;;;;
995;;;;;;;
982;;;;;;;
887;;;;;;;
956;;;;;;;
766;;;;;;;
985;;;;;;;
997;;;;;;;
943;;;;;;;
986;;;;;;;
891;;;;;;;
511;;;;;;;
998;;;;;;;
1001;;;;;;;
988;;;;;;;
893;;;;;;;
951;;;;;;;
1002;;;;;;;
975;;;;;;;
894;;;;;;;
1009;;;;;;;
955;;;;;;;
1004;;;;;;;
1010;;;;;;;
983;;;;;;;
957;;;;;;;
767;;;;;;;
1012;;;;;;;
958;;;;;;;
987;;;;;;;
999;;;;;;;
1016;;;;;;;
989;;;;;;;
1003;;;;;;;
990;;;;;;;
895;;;;;;;
1005;;;;;;;
1011;;;;;;;
1006;;;;;;;
1013;;;;;;;
959;;;;;;;
1014;;;;;;;
1017;;;;;;;
1018;;;;;;;
991;;;;;;;
1020;;;;;;;
1007;;;;;;;
1015;;;;;;;
1019;;;;;;;
1021;;;;;;;
1022;;;;;;;
1023;;;;;;;
